LA_name,LA_code,March_2020,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April _2021,Total
Adur,E07000223,0,22,15,0,0,0,3,2,0,1,29,13,2,0,87
Allerdale,E07000026,1,42,15,4,4,8,0,2,12,13,72,76,9,1,259
Amber Valley,E07000032,4,54,25,11,2,1,1,6,34,30,74,51,12,1,306
Arun,E07000224,1,31,25,7,0,0,1,2,6,17,132,80,15,3,320
Ashfield,E07000170,1,71,51,10,5,0,1,7,32,27,68,72,29,4,378
Ashford,E07000105,1,48,40,41,22,4,5,2,3,36,93,38,13,1,347
Aylesbury Vale,E07000004,1,82,30,6,5,3,0,1,14,19,96,78,19,2,356
Babergh,E07000200,2,33,17,6,0,0,0,2,31,30,58,18,6,1,204
Barking and Dagenham,E09000002,15,119,20,4,0,0,4,6,41,65,161,66,9,3,513
Barnet,E09000003,46,321,55,6,2,1,2,5,27,51,246,81,20,4,867
Barnsley,E08000016,1,111,80,30,6,0,2,28,135,110,98,76,32,8,717
Barrow-in-Furness,E07000027,3,56,9,1,3,2,1,10,29,10,22,13,5,1,165
Basildon,E07000066,1,126,48,17,12,0,0,13,29,53,162,64,26,4,555
Basingstoke and Deane,E07000084,4,66,23,15,0,0,0,0,22,22,86,33,13,3,287
Bassetlaw,E07000171,0,32,16,16,3,1,2,6,30,52,28,16,7,5,214
Bath and North East Somerset,E06000022,8,62,12,3,2,0,0,2,4,25,58,82,7,0,265
Bedford,E06000055,12,69,51,17,13,3,2,3,23,45,122,102,13,4,479
Bexley,E09000004,9,149,38,11,7,4,2,7,33,42,176,80,16,5,579
Birmingham,E08000025,41,831,201,47,11,8,29,68,197,212,522,422,96,31,2716
Blaby,E07000129,2,28,28,11,3,0,3,2,20,18,44,35,13,1,208
Blackburn with Darwen,E06000008,0,52,26,4,4,9,6,20,65,56,105,55,12,2,416
Blackpool,E06000009,0,56,40,20,7,1,1,19,58,47,76,42,15,0,382
Bolsover,E07000033,2,25,19,2,1,0,1,2,32,22,54,42,17,3,222
Bolton,E08000001,5,194,72,15,7,4,6,43,83,66,84,70,25,6,680
Boston,E07000136,0,22,8,3,0,0,0,0,22,65,23,7,5,2,157
Bournemouth,E06000028,1,46,19,4,2,0,0,5,21,26,134,103,15,0,376
Bracknell Forest,E06000036,3,40,13,7,0,0,1,3,7,6,46,25,5,1,157
Bradford,E08000032,1,265,140,47,11,9,20,62,167,132,132,106,41,29,1162
Braintree,E07000067,1,65,33,7,4,0,0,3,11,10,156,91,19,2,402
Breckland,E07000143,1,42,35,6,2,0,0,1,4,20,115,60,7,2,295
Brent,E09000005,41,344,52,12,5,1,4,9,10,38,169,82,17,8,792
Brentwood,E07000068,2,56,19,5,2,0,0,5,21,27,60,24,3,0,224
Brighton and Hove,E06000043,2,86,43,11,4,2,0,7,13,25,114,77,21,0,405
Bristol,E06000023,9,155,49,17,4,0,2,10,45,55,102,93,18,6,565
Broadland,E07000144,0,30,28,5,2,0,0,3,7,18,101,103,11,1,309
Bromley,E09000006,19,215,67,9,3,0,2,5,9,28,193,110,11,2,673
Bromsgrove,E07000234,4,78,37,9,0,0,0,0,6,22,50,33,5,3,247
Broxbourne,E07000095,2,58,10,1,1,1,0,5,8,20,82,21,5,1,215
Broxtowe,E07000172,4,51,26,5,4,0,0,5,27,39,43,43,7,7,261
Burnley,E07000117,0,35,17,5,2,2,6,20,44,42,79,28,10,0,290
Bury,E08000002,7,128,46,35,6,2,3,35,75,56,60,33,28,5,519
Calderdale,E08000033,2,77,22,5,6,5,4,18,47,35,43,41,12,1,318
Cambridge,E07000008,1,49,26,1,0,0,0,1,0,0,21,17,4,1,121
Camden,E09000007,6,126,17,5,2,0,1,2,2,12,76,44,11,4,308
Cannock Chase,E07000192,4,42,18,6,1,0,2,5,29,40,71,39,6,2,265
Canterbury,E07000106,0,57,35,17,11,3,0,2,12,76,179,47,9,3,451
Carlisle,E07000028,10,59,44,5,6,5,2,5,15,15,95,50,7,1,319
Castle Point,E07000069,1,48,18,18,9,0,0,2,9,36,133,75,9,7,365
Central Bedfordshire,E06000056,10,136,69,33,12,0,2,3,18,46,150,83,18,1,581
Charnwood,E07000130,1,55,37,15,6,1,3,6,21,45,62,55,13,3,323
Chelmsford,E07000070,4,83,43,11,3,0,2,1,10,20,137,81,16,3,414
Cheltenham,E07000078,0,96,27,4,0,2,1,1,6,31,35,11,2,0,216
Cherwell,E07000177,2,78,30,2,1,0,0,1,2,13,60,33,7,2,231
Cheshire East,E06000049,8,240,158,74,19,3,0,14,43,73,141,111,22,3,909
Cheshire West and Chester,E06000050,7,190,108,53,14,1,3,13,69,85,160,131,19,10,863
Chesterfield,E07000034,1,40,32,5,0,1,1,1,13,13,34,54,12,0,207
Chichester,E07000225,1,45,27,3,0,0,0,1,6,15,99,81,9,1,288
Chiltern,E07000005,7,62,14,1,3,1,0,0,3,11,48,23,8,2,183
Chorley,E07000118,1,59,29,15,0,0,0,10,28,38,24,15,6,1,226
Christchurch,E07000048,0,11,7,3,0,0,0,3,7,10,25,22,8,3,99
City of London,E09000001,1,2,1,0,0,0,0,0,0,1,3,3,0,0,11
Colchester,E07000071,1,64,32,7,2,0,0,2,35,10,103,75,17,3,351
Copeland,E07000029,2,36,10,9,0,3,2,4,12,8,26,50,7,1,170
Corby,E07000150,0,24,15,7,1,0,0,1,12,17,27,14,5,1,124
Cornwall,E06000052,5,129,51,5,2,2,0,1,14,19,117,127,29,3,504
Cotswold,E07000079,1,43,8,2,0,0,0,2,18,16,29,10,4,0,133
County Durham,E06000047,10,358,215,78,8,1,6,56,163,126,169,119,32,8,1349
Coventry,E08000026,17,192,47,10,3,2,3,13,23,38,108,97,28,13,594
Craven,E07000163,2,41,15,1,2,0,0,4,9,27,12,11,0,0,124
Crawley,E07000226,4,43,17,3,1,0,0,3,8,5,59,48,9,0,200
Croydon,E09000008,25,327,97,16,5,0,3,5,25,51,206,122,25,6,913
Dacorum,E07000096,2,85,19,5,1,1,0,8,5,22,105,51,6,1,311
Darlington,E06000005,0,47,29,8,0,1,1,20,40,32,34,23,7,2,244
Dartford,E07000107,3,75,19,11,8,3,0,1,10,22,65,57,9,2,285
Daventry,E07000151,2,38,17,12,2,1,0,3,9,11,31,5,4,1,136
Derby,E06000015,7,178,65,35,5,3,0,12,67,54,137,120,19,5,707
Derbyshire Dales,E07000035,1,39,20,8,1,2,0,4,11,12,27,35,6,1,167
Doncaster,E08000017,1,101,76,37,15,2,4,52,198,108,116,65,18,6,799
Dover,E07000108,1,44,31,29,12,1,0,2,13,58,87,37,21,3,339
Dudley,E08000027,16,191,45,13,2,2,1,11,71,75,126,131,30,9,723
Ealing,E09000009,31,290,47,12,2,1,4,8,28,36,165,82,28,7,741
East Cambridgeshire,E07000009,0,32,11,3,1,0,0,1,2,4,25,17,0,1,97
East Devon,E07000040,1,22,17,4,0,1,0,0,6,54,43,19,10,4,181
East Dorset,E07000050,2,20,13,3,0,0,0,3,14,14,45,55,12,2,183
East Hampshire,E07000085,4,43,27,3,0,0,0,2,3,10,43,50,10,1,196
East Hertfordshire,E07000242,2,75,15,2,2,0,1,1,7,19,64,35,7,0,230
East Lindsey,E07000137,0,28,11,3,4,0,2,8,70,110,39,27,15,2,319
East Northamptonshire,E06000011,2,56,22,13,2,0,0,3,11,32,29,20,2,1,193
